Date,Open,High,Low,Close,Volume
1998-02-16,5.9493,5.9493,5.9493,5.9493,29617
1998-02-17,6.3756,6.3756,6.3756,6.3756,62999
1998-02-18,6.8645,6.8645,6.8645,6.8645,93050
1998-02-19,7.2282,7.2282,7.2282,7.2282,157270
1998-02-20,6.9837,6.9837,6.9837,6.9837,43537
1998-02-23,6.5573,6.5573,6.5573,6.5573,42259
1998-02-24,6.8019,6.8019,6.8019,6.8019,78637
1998-02-25,6.6202,6.6202,6.6202,6.6202,22703
1998-02-26,6.3756,6.3756,6.3756,6.3756,14066
1998-02-27,6.6202,6.6202,6.6202,6.6202,45998
1998-03-02,6.6202,6.6202,6.6202,6.6202,36293
1998-03-03,6.7392,6.7392,6.7392,6.7392,44638
1998-03-04,6.4947,6.4947,6.4947,6.4947,9954
1998-03-05,6.2564,6.2564,6.2564,6.2564,16814
1998-03-06,6.2564,6.2564,6.2564,6.2564,23136
1998-03-09,6.4947,6.4947,6.4947,6.4947,15054
1998-03-10,6.4947,6.4947,6.4947,6.4947,16323
1998-03-11,6.3756,6.3756,6.3756,6.3756,21695
1998-03-12,6.1938,6.1938,6.1938,6.1938,16067
1998-03-13,6.3756,6.3756,6.3756,6.3756,19317
1998-03-16,6.4947,6.4947,6.4947,6.4947,22918
1998-03-17,6.6202,6.6202,6.6202,6.6202,28624
1998-03-18,6.4382,6.4382,6.4382,6.4382,15240
1998-03-19,6.4382,6.4382,6.4382,6.4382,28039
1998-03-20,6.5573,6.5573,6.5573,6.5573,15805
1998-03-23,6.6765,6.6765,6.6765,6.6765,28575
1998-03-24,6.6765,6.6765,6.6765,6.6765,57180
1998-03-25,6.8645,6.8645,6.8645,6.8645,59239
1998-03-26,6.6765,6.6765,6.6765,6.6765,27096
1998-03-27,6.0119,6.0119,6.0119,6.0119,16932
1998-03-30,6.4382,6.4382,6.4382,6.4382,66205
1998-03-31,6.3756,6.3756,6.3756,6.3756,11706
1998-04-01,6.3756,6.3756,6.3756,6.3756,3852
1998-04-02,6.131,6.131,6.131,6.131,26513
1998-04-06,6.3756,6.3756,6.3756,6.3756,4881
1998-04-07,6.4382,6.4382,6.4382,6.4382,10453
1998-04-08,6.3128,6.3128,6.3128,6.3128,25668
1998-04-09,6.3128,6.3128,6.3128,6.3128,65020
1998-04-14,6.3756,6.3756,6.3756,6.3756,3926
1998-04-15,6.4947,6.4947,6.4947,6.4947,13987
1998-04-16,6.3756,6.3756,6.3756,6.3756,3948
1998-04-17,6.2564,6.2564,6.2564,6.2564,37207
1998-04-20,6.3128,6.3128,6.3128,6.3128,13702
1998-04-21,6.3128,6.3128,6.3128,6.3128,10144
1998-04-22,6.2564,6.2564,6.2564,6.2564,32871
1998-04-23,6.1938,6.1938,6.1938,6.1938,14884
1998-04-24,6.131,6.131,6.131,6.131,21175
1998-04-27,6.2564,6.2564,6.2564,6.2564,8747
1998-04-28,6.0119,6.0119,6.0119,6.0119,17187
1998-04-29,6.0119,6.0119,6.0119,6.0119,19121
1998-04-30,5.7674,5.7674,5.7674,5.7674,18074
1998-05-04,5.7674,5.7674,5.7674,5.7674,28978
1998-05-05,5.7674,5.7674,5.7674,5.7674,24172
1998-05-06,5.6485,5.6485,5.6485,5.6485,6915
1998-05-07,5.7048,5.7048,5.7048,5.7048,11284
1998-05-08,5.6485,5.6485,5.6485,5.6485,17280
1998-05-11,5.6485,5.6485,5.6485,5.6485,11965
1998-05-12,5.4039,5.4039,5.4039,5.4039,12067
1998-05-13,5.4666,5.4666,5.4666,5.4666,25524
1998-05-14,5.5229,5.5229,5.5229,5.5229,11371
1998-05-15,5.4039,5.4039,5.4039,5.4039,13340
1998-05-18,5.4039,5.4039,5.4039,5.4039,16296
1998-05-19,5.4666,5.4666,5.4666,5.4666,34212
1998-05-20,5.4666,5.4666,5.4666,5.4666,11604
1998-05-21,5.4666,5.4666,5.4666,5.4666,53072
1998-05-22,5.4666,5.4666,5.4666,5.4666,5875
1998-05-25,5.0089,5.0089,5.0089,5.0089,8498
1998-05-26,5.0403,5.0403,5.0403,5.0403,19475
1998-05-27,4.5512,4.5512,4.5512,4.5512,24867
1998-05-28,4.5512,4.5512,4.5512,4.5512,34659
1998-05-29,5.0089,5.0089,5.0089,5.0089,24752
1998-06-01,4.5262,4.5262,4.5262,4.5262,2789
1998-06-02,4.0999,4.0999,4.0999,4.0999,30895
1998-06-03,4.1313,4.1313,4.1313,4.1313,5496
1998-06-04,4.2505,4.2505,4.2505,4.2505,11597
1998-06-05,4.3695,4.3695,4.3695,4.3695,22542
1998-06-08,4.2505,4.2505,4.2505,4.2505,4423
1998-06-09,4.1313,4.1313,4.1313,4.1313,14526
1998-06-10,3.8242,3.8242,3.8242,3.8242,13753
1998-06-15,3.6109,3.6109,3.6109,3.6109,9556
1998-06-16,3.2787,3.2787,3.2787,3.2787,15728
1998-06-17,3.5796,3.5796,3.5796,3.5796,11463
1998-06-18,3.9182,3.9182,3.9182,3.9182,38876
1998-06-19,3.7677,3.7677,3.7677,3.7677,64593
1998-06-22,3.8554,3.8554,3.8554,3.8554,7000
1998-06-23,4.0058,4.0058,4.0058,4.0058,38563
1998-06-24,4.1313,4.1313,4.1313,4.1313,19532
1998-06-25,4.2505,4.2505,4.2505,4.2505,23992
1998-06-26,4.4009,4.4009,4.4009,4.4009,42250
1998-06-29,4.5262,4.5262,4.5262,4.5262,35605
1998-06-30,4.4949,4.4949,4.4949,4.4949,47620
1998-07-01,4.5825,4.5825,4.5825,4.5825,45879
1998-07-02,4.5825,4.5825,4.5825,4.5825,47084
1998-07-03,4.5825,4.5825,4.5825,4.5825,24145
1998-07-06,4.4009,4.4009,4.4009,4.4009,16296
1998-07-07,4.4636,4.4636,4.4636,4.4636,32329
1998-07-08,4.2505,4.2505,4.2505,4.2505,30446
1998-07-09,4.6139,4.6139,4.6139,4.6139,28985
1998-07-10,4.4321,4.4321,4.4321,4.4321,27912
1998-07-13,4.0372,4.0372,4.0372,4.0372,33871
1998-07-14,4.2505,4.2505,4.2505,4.2505,26273
1998-07-15,4.3695,4.3695,4.3695,4.3695,21458
1998-07-16,4.2505,4.2505,4.2505,4.2505,38128
